<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
07.09.2018;103710;103710;103710;103710
07.09.2018;103670;103670;103670;103670
07.09.2018;103680;103680;103630;103630
07.09.2018;103690;103690;103630;103650
07.09.2018;103620;103650;103620;103650
07.09.2018;103600;103600;103600;103600
07.09.2018;103600;103600;103600;103600
07.09.2018;103650;103650;103650;103650
07.09.2018;103620;103620;103610;103610
07.09.2018;103630;103630;103630;103630
07.09.2018;103600;103600;103600;103600
07.09.2018;103570;103570;103550;103550
07.09.2018;103600;103600;103600;103600
07.09.2018;103600;103600;103600;103600
07.09.2018;103600;103600;103600;103600
07.09.2018;103600;103600;103570;103570
07.09.2018;103600;103600;103600;103600
07.09.2018;103630;103630;103630;103630
07.09.2018;103600;103600;103600;103600
07.09.2018;103600;103600;103600;103600
07.09.2018;103640;103650;103640;103650
07.09.2018;103640;103650;103640;103650
07.09.2018;103670;103670;103670;103670
07.09.2018;103670;103670;103670;103670
07.09.2018;103670;103670;103670;103670
07.09.2018;103650;103650;103650;103650
07.09.2018;103650;103650;103650;103650
07.09.2018;103700;103700;103700;103700
07.09.2018;103700;103710;103700;103710
09.10.2018;116090;116760;116090;116500
09.10.2018;116500;116550;116420;116460
09.10.2018;116460;116480;116370;116390
09.10.2018;116390;116450;116300;116370
09.10.2018;116370;116560;116370;116550
09.10.2018;116550;116670;116540;116620
09.10.2018;116620;116680;116590;116630
09.10.2018;116630;116690;116600;116630
09.10.2018;116620;116670;116580;116660
09.10.2018;116650;116680;116600;116630
09.10.2018;116640;116700;116620;116670
09.10.2018;116660;116700;116600;116610
09.10.2018;116610;116620;116580;116590
09.10.2018;116590;116600;116530;116580
09.10.2018;116560;116590;116530;116550
09.10.2018;116540;116620;116510;116600
09.10.2018;116600;116720;116590;116710
09.10.2018;116710;116770;116680;116750
09.10.2018;116760;116770;116690;116710
09.10.2018;116710;116750;116680;116730
09.10.2018;116740;116850;116720;116810
09.10.2018;116810;116890;116810;116840
09.10.2018;116830;116900;116790;116820
09.10.2018;116830;116880;116820;116850
09.10.2018;116840;116930;116830;116880
09.10.2018;116880;116940;116810;116820
09.10.2018;116820;116830;116670;116670
09.10.2018;116670;116780;116670;116760
09.10.2018;116760;116800;116670;116680
09.10.2018;116680;116720;116620;116660
09.10.2018;116660;116690;116570;116590
09.10.2018;116600;116690;116580;116610
09.10.2018;116590;116700;116580;116650
